,clinton_adjusted,polling_weight,state,trump_adjusted,trump_clinton_win
2129,2.12385,0.0485541587302,36,2.91071,0
2130,6.83078,0.0305072444444,16,7.79981,1
2131,-0.28611,0.0191705442623,11,1.03552,1
2132,7.4913,0.00738716785714,13,8.56757,0
2133,-0.90769,0.00611972222222,30,1.58071,1
2134,3.59374,0.0696666666667,36,4.21347,1
2135,0.36562,0.0139894897561,53,2.84402,1
2136,2.13329,0.0421804721311,36,2.84942,1
2137,7.28362,0.00926853061224,55,8.14912,0
2138,7.25614,0.0193196238095,22,8.08121,1
2139,7.73149,0.00358453333333,56,9.11829,1
2140,2.11175,0.0474665625,36,2.93631,1
2141,7.82683,0.00250749206349,29,9.25041,1
2142,7.5235,0.0222606071429,30,8.40569,1
2143,-0.32292,0.00526672131148,0,0.86852,0
2144,-1.60522,0.0600436108108,36,-3.12663,1
2145,2.13178,0.0406389225806,36,2.87851,0
